# GGQ rule 01: bm in [2^-5, 2^0]
# 67 nodes on [0, 1]
# Columns: x_i  w_i
 3.14321419133622396E-04   8.06358934149620254E-04
 1.65356249993687892E-03   1.87116276177052600E-03
 4.05215050984238361E-03   2.92282427161616063E-03
 7.49106311349968801E-03   3.95001402812893577E-03
 1.19402815504040544E-02   4.94148548862334298E-03
 1.73581320813958086E-02   5.88524718715075813E-03
 2.36908366679066257E-02   6.76921719827000817E-03
 3.08728533133425138E-02   7.58210662562415309E-03
 3.88281534854724442E-02   8.31440021363585337E-03
 4.74725080653388906E-02   8.95938395856101140E-03
 5.67167931644148929E-02   9.51413777177511147E-03
 6.64712090060543687E-02   9.98033660039228908E-03
 7.66501157640173680E-02   1.03646458206687365E-02
 8.71769751042021229E-02   1.06785099148741791E-02
 9.79887317160682975E-02   1.09372420061057667E-02
 1.09038962727706912E-01   1.11585006235617491E-02
 1.20299301213275145E-01   1.13604159284935499E-02
 1.31758956373521002E-01   1.15597156183707920E-02
 1.43422491936203295E-01   1.17701558126938662E-02
 1.55306257779493834E-01   1.20014042484084173E-02
 1.67433913806180334E-01   1.22583132848802061E-02
 1.79831317335128332E-01   1.25403128344764286E-02
 1.92520681603705002E-01   1.28404711514588273E-02
 2.05513396255220110E-01   1.31436704139567800E-02
 2.18800476876093331E-01   1.34237934489179218E-02
 2.32340756584801161E-01   1.36432479388784375E-02
 2.46055958296291677E-01   1.37722201474588992E-02
 2.59871380832988830E-01   1.38668130947706050E-02
 2.73853583991125360E-01   1.41534908969468513E-02
 2.88311387217227821E-01   1.48247682285588961E-02
 3.03588289271131351E-01   1.57488785472590376E-02
 3.19814588823236934E-01   1.66954321365191463E-02
 3.36955085526713105E-01   1.75726620635495087E-02
 3.54936443861839257E-01   1.83798741927969668E-02
 3.73697500085451273E-01   1.91348735641558090E-02
 3.93193338222639355E-01   1.98510864529361196E-02
 4.13389080371027673E-01   2.05353635111281199E-02
 4.34254137513317651E-01   2.11897548178643785E-02
 4.55758282542441329E-01   2.18131547608212129E-02
 4.77869057826037169E-01   2.24023372359506354E-02
 5.00549980835009234E-01   2.29525523882479696E-02
 5.23759208140905708E-01   2.34578723066261284E-02
 5.47448472652426466E-01   2.39114070560675837E-02
 5.71562202795169672E-01   2.43054610921619209E-02
 5.96036785360917420E-01   2.46316688359354621E-02
 6.20799962644606906E-01   2.48811300881492080E-02
 6.45770369590514925E-01   2.50445558571300263E-02
 6.70857224429831422E-01   2.51124302464452928E-02
 6.95960190935639988E-01   2.50751924545694720E-02
 7.20969434395728248E-01   2.49234428825011595E-02
 7.45765897314812243E-01   2.46481769831819915E-02
 7.70221823620993451E-01   2.42410483771342174E-02
 7.94201559672179092E-01   2.36946583956593147E-02
 8.17562654612624007E-01   2.30028632385011582E-02
 8.40157270714314786E-01   2.21610838617970242E-02
 8.61833897039393948E-01   2.11665992875864836E-02
 8.82439339426566494E-01   2.00188025271672253E-02
 9.01820939637143826E-01   1.87194001242709518E-02
 9.19828959609887753E-01   1.72725409195232729E-02
 9.36319055410758994E-01   1.56848658703080471E-02
 9.51154760600231630E-01   1.39654773172177248E-02
 9.64209900132692699E-01   1.21258319028867429E-02
 9.75370862508119107E-01   1.01795659595754467E-02
 9.84538668795073679E-01   8.14226655715308799E-03
 9.91630794883741506E-01   6.03121372409286000E-03
 9.96582761484116730E-01   3.86522305538040652E-03
 9.99350183083381416E-01   1.66688495457020368E-03
