# GGQ rule 10: bm in [2^-50, 2^-45]
# 79 nodes on [0, 1]
# Columns: x_i  w_i
 2.35732141133247201E-10   6.01744595052151803E-10
 1.21451184110525878E-09   1.33938722973812716E-09
 2.87088937188436674E-09   1.94762832663573571E-09
 5.05440050206919933E-09   2.39104853095272284E-09
 7.59845105161584964E-09   2.67182306868684065E-09
 1.03537500189232001E-08   2.82012438106972036E-09
 1.32088866921624683E-08   2.87893919636645297E-09
 1.60960193842172883E-08   2.89063168331064524E-09
 1.89859519748198082E-08   2.88937111604438007E-09
 2.18784816203072117E-08   2.89895946681919442E-09
 2.47924330976235485E-08   2.93401306014414187E-09
 2.77576938832544162E-08   3.00248906580190147E-09
 3.08098396981136505E-08   3.10817564884052416E-09
 3.39869463658927771E-08   3.25252771670549959E-09
 3.73278751906948286E-08   3.43580331787031926E-09
 4.08714406649606382E-08   3.65774074522820190E-09
 4.46561386477684702E-08   3.91803616206359860E-09
 4.87203069058243068E-08   4.21673490116177402E-09
 5.31026254179895360E-08   4.55451043763270558E-09
 5.78428243450405724E-08   4.93280318103008292E-09
 6.29824844122316752E-08   5.35388435958584856E-09
 6.85659101411648809E-08   5.82095375695405757E-09
 7.46411471177130326E-08   6.33833677546559314E-09
 8.12612650237641155E-08   6.91183189359398111E-09
 8.84861136003382032E-08   7.54933972653331309E-09
 9.63849344665716857E-08   8.26198140166307193E-09
 1.05040414352466171E-07   9.06588558729572159E-09
 1.14554901810618862E-07   9.98473956038375897E-09
 1.25059591030804902E-07   1.10531963282796221E-08
 1.36727646514328403E-07   1.23214304225334023E-08
 1.49792774550773695E-07   1.38616894133259067E-08
 1.64576098424374057E-07   1.57788116194604013E-08
 1.81527075286236986E-07   1.82286907228832631E-08
 2.01289808130913776E-07   2.14523145021379328E-08
 2.24816827918635185E-07   2.58399459987704302E-08
 2.53573006047502626E-07   3.20536211879606595E-08
 2.89913068091066516E-07   4.12654407071009410E-08
 3.37804347567008844E-07   5.56421583686007604E-08
 4.04280743124871304E-07   7.94093586033463807E-08
 5.02596845679368973E-07   1.21443906374699677E-07
 6.59832117287527296E-07   2.02451108059685050E-07
 9.38009933215724034E-07   3.78356699612790960E-07
 1.50536923869766443E-06   8.35823759372183213E-07
 2.95832478407039206E-06   2.44210455374393737E-06
 8.73295418177364833E-06   1.25502208551864511E-05
 7.84913005297503008E-05   2.52782922426913830E-04
 1.62260941234231731E-03   3.44008704474351541E-03
 7.28558467273022602E-03   7.89465329394554126E-03
 1.73973233345971964E-02   1.23146264489613060E-02
 3.18785437041578176E-02   1.66261143708666403E-02
 5.05995317579882378E-02   2.07876265247971120E-02
 7.33910819618443233E-02   2.47610586297169026E-02
 1.00046901391456236E-01   2.85103175527713741E-02
 1.30325636191103461E-01   3.20014124970571176E-02
 1.63953098869254882E-01   3.52027127086311856E-02
 2.00624765135552691E-01   3.80852199435288211E-02
 2.40008537062894989E-01   4.06228263749993726E-02
 2.81747752955153752E-01   4.27925492135169880E-02
 3.25464418451807125E-01   4.45747380628766995E-02
 3.70762630282226391E-01   4.59532525132670330E-02
 4.17232161944663227E-01   4.69156081294110627E-02
 4.64452178964710471E-01   4.74530894154353636E-02
 5.11995050148975617E-01   4.75608286907130487E-02
 5.59430220350462526E-01   4.72378501422348399E-02
 6.06328109690722594E-01   4.64870786446768477E-02
 6.52264003937142900E-01   4.53153132634354083E-02
 6.96821900810506434E-01   4.37331656785528988E-02
 7.39598277396083637E-01   4.17549640872312139E-02
 7.80205744547226687E-01   3.93986234577544669E-02
 8.18276555198408695E-01   3.66854833169495062E-02
 8.53465934839336304E-01   3.36401145580414590E-02
 8.85455204042073785E-01   3.02900970651104468E-02
 9.13954664898395386E-01   2.66657703022688160E-02
 9.38706225617742085E-01   2.27999595685207841E-02
 9.59485740841294343E-01   1.87276821456467575E-02
 9.76105052102199222E-01   1.44858449477879864E-02
 9.88413743638318687E-01   1.01130047774099768E-02
 9.96300972182958211E-01   5.65028353340018760E-03
 9.99716804644645296E-01   1.24828323632728629E-03
