# GGQ rule 01: bm in [2^-5, 2^0]
# 66 nodes on [0, 1]
# Columns: x_i  w_i
0.32381159346821984139169471150716257E-03  0.83054314562993037809773817156837287E-03
0.17021032069983170175121917644347374E-02  0.19241970217245348444298566205911000E-02
0.41653679241616926954949061877438893E-02  0.29977548108231250957696512207243258E-02
0.76864517690504800573059692620848651E-02  0.40378674078956165157512572515114204E-02
0.12226168892615742061922275456107410E-01  0.50332050827654642708572638017626088E-02
0.17734429527814275573557372145168498E-01  0.59732737090806344253992911464760777E-02
0.24151071197254958984261382138354503E-01  0.68484417585113099573987441406401558E-02
0.31406809544819425059101340476592111E-01  0.76501483792787270296893296766517396E-02
0.39424504740211088390379282915571199E-01  0.83713378252069915495848544188237735E-02
0.48120992896606522459752887122066280E-01  0.90071529287331422412092957829954266E-02
0.57409714838264441813216808916322365E-01  0.95558133423437162884191857332756050E-02
0.67204237951730846929768069133559276E-01  0.10019481823045134286887378135606765E-01
0.77422524056193721085128493985900461E-01  0.10404841309980930845720801844557919E-01
0.87991515134169296724882772094781104E-01  0.10723115820708508019396535438123602E-01
0.98851392945236660984944684771190520E-01  0.10989387868896468885183788466429290E-01
0.10995881677655894329541387575539718E+00  0.11221264121640334659381652197123997E-01
0.12128859998540317458869177317572889E+00  0.11437143130688744635180394631752296E-01
0.13283360840585110192051829703710989E+00  0.11654455934945395822717465246096368E-01
0.14460303726658814595849380509538202E+00  0.11888232995909773847455151522376936E-01
0.15661951774806443878308934627741757E+00  0.12150218825347925822272928740246519E-01
0.16891563776269244187574640234430812E+00  0.12448579260702214416491121353481983E-01
0.18153042819509968747552702419732356E+00  0.12788099263775157229749413897432534E-01
0.19450621852191651523382209447527576E+00  0.13170691422827018200074141545142471E-01
0.20788607727844932975034465324674634E+00  0.13596028472668675451432146466633436E-01
0.22171188423546119601502118567980205E+00  0.14062155023302926887628546439419545E-01
0.23602296669551768698289990081611168E+00  0.14565995425303259619756531920057870E-01
0.25085517907242454834802920466408460E+00  0.15103732146977468471420265656278159E-01
0.26624030081465682271462702714689516E+00  0.15671068541470348180423664599249181E-01
0.28220565236042811732565088856122598E+00  0.16263407891038555447781345147030419E-01
0.29877386169434700411721812321933525E+00  0.16875979954451938661109369255515336E-01
0.31596273965324199502971688079863831E+00  0.17503933703085156991796132912419811E-01
0.33378523307304156864522671603109508E+00  0.18142399810630628304083991532274886E-01
0.35224942299389977353899281242056039E+00  0.18786516972856686985433837229425858E-01
0.37135852817121870746138422334415569E+00  0.19431415468119765901331462971390036E-01
0.39111087024661176080034642195529608E+00  0.20072157585067242899123173977983481E-01
0.41149976101537542294476032367196086E+00  0.20703643582488665657675159318068935E-01
0.43251328511274012366810588356197268E+00  0.21320499824079300318694271408498729E-01
0.45413397043571728283435905659409098E+00  0.21916969535028798576212496735749407E-01
0.47633835851492580199885137624585514E+00  0.22486824511565800383903857718301405E-01
0.49909650203900946884259106716255392E+00  0.23023308763795976267894593229348398E-01
0.52237142303696503439965764834539230E+00  0.23519115747137310814082210119405756E-01
0.54611856299236473845536371801381472E+00  0.23966393741725819386485116783271800E-01
0.57028524920964092231587536326060336E+00  0.24356771830685769818418682930196349E-01
0.59481019529261969331235419795154622E+00  0.24681401792982722612520016247465848E-01
0.61962305159381481026152029151729447E+00  0.24931016791477996578535786454473395E-01
0.64464402516967396899068101215905273E+00  0.25096013072390560085646621217800804E-01
0.66978359671804764668797942630908450E+00  0.25166563831009202613093450103496662E-01
0.69494237124714960984412728924531570E+00  0.25132774089004329996594774016397854E-01
0.72001110664592391869347717357483705E+00  0.24984882149386914711399406703846428E-01
0.74487096735485993520165234743400739E+00  0.24713507875555799788286528199042661E-01
0.76939404750451007048627372162478545E+00  0.24309941832702115919589016182351644E-01
0.79344419887316178590614842525929950E+00  0.23766463343380277039941340705013152E-01
0.81687818452433234798199897749418661E+00  0.23076670683972074214876942427314911E-01
0.83954716055257640394272538162439324E+00  0.22235803684372121088476042803643656E-01
0.86129846807960557233970104929266142E+00  0.21241038286799397971906932305915959E-01
0.88197769781155309323491331227328566E+00  0.20091734212241585237411919868412946E-01
0.90143097225740230954473788151477682E+00  0.18789620448248175135382925623558567E-01
0.91950737779657603828465346178639369E+00  0.17338908180638541575949756567138296E-01
0.93606147112496902399873444849004044E+00  0.15746326253648514478437018294456053E-01
0.95095578236198006071531831414874216E+00  0.14021079488410906925091580810000080E-01
0.96406323974334085608325613791228663E+00  0.12174734655667562362905748321922064E-01
0.97526944746272446177963042371474160E+00  0.10221042462044292280084920713662740E-01
0.98447475832921499730024866813042297E+00  0.81757076881945195475378892360947179E-02
0.99159609949283430873633768181691667E+00  0.60561318157226752850988784837867236E-02
0.99656856666605353703117819888807287E+00  0.38812567759650606030416440540024958E-02
0.99934748083533254165924559361450368E+00  0.16738148642437596563794075654410991E-02
