# GGQ rule 13: bm in [2^-65, 2^-60]
# 75 nodes on [0, 1]
# Columns: x_i  w_i
0.16779702933402911266548525823721118E-11  0.42730444806995473611139191762601974E-11
0.85605967630183998753110105394426371E-11  0.93270853835458069392751851727534680E-11
0.19911798220710726375076301124123902E-10  0.13137208251270336131884388142873992E-10
0.34350223238019812823938009073628955E-10  0.15507224469197056830060839964069778E-10
0.50514798877567086037815209270290289E-10  0.16649928836515292797181617515706849E-10
0.67381757743472165766109488635266772E-10  0.16986821356889550032651520885882100E-10
0.84359137638884384591675764682808907E-10  0.16931699196536957848408489291447697E-10
0.10121671127941575881825687710520358E-09  0.16787224317671585342866817114578375E-10
0.11796659660766182696696284234950215E-09  0.16738834746261949703522388126942839E-10
0.13475938078505235231554838155731847E-09  0.16883591871265851522906192143681456E-10
0.15181202799542530058438204910296369E-09  0.17262095260299206822983169817495977E-10
0.16936485394230537739389779584805710E-09  0.17884023196143554949444961100826956E-10
0.18765994232899811309556082278350503E-09  0.18745455309071088861090556901849849E-10
0.20693307823086838650754749733329607E-09  0.19838886079738180517603207448476613E-10
0.22741298934521376543899344686460553E-09  0.21158283451060977406364438917820581E-10
0.24932429263038895880469324617005619E-09  0.22701836301447209599530362342409138E-10
0.27289280193657128937786869835055262E-09  0.24474078753294088363704840213943989E-10
0.29835272446455939339637182122513569E-09  0.26487407493064509985801368198826551E-10
0.32595457364250663250679578450723853E-09  0.28761769710096243674335978206220344E-10
0.35597151212297349958026035886325212E-09  0.31321916853675704089797040686758286E-10
0.38870246285132609887256558280408766E-09  0.34194276643795761486702294367123141E-10
0.42447358315275805871167770289438123E-09  0.37407459388847801135490881786265043E-10
0.46364320101571577273126835052475765E-09  0.40998756878702534012478860946614918E-10
0.50661582991538321104672232584217220E-09  0.45025354863447735114798787725941730E-10
0.55386859062001767576778561343829555E-09  0.49577566289499464320560750589929292E-10
0.60599142028663420442997114524635822E-09  0.54793310160630006162068319561846126E-10
0.66374328364234772413851652101952987E-09  0.60876305732887759677962146465254777E-10
0.72813049453679242671797277947120497E-09  0.68123113649738761418677408859952627E-10
0.80051931640828040321878230383131873E-09  0.76966001468203412364585773142700176E-10
0.88280360173328741146010511704947604E-09  0.88042690882834152402521856290832640E-10
0.97766474066247813010723309767320441E-09  0.10231711936850550684460633932960661E-09
0.10889987521790724277143205215592366E-08  0.12130597430694500066259168958761873E-09
0.12226675104014697645163085339233024E-08  0.14752757891370702713355685912538511E-09
0.13879030186727772819518066458190825E-08  0.18541609341711358471103880614243143E-09
0.16000603166354109239928480131833233E-08  0.24323510172657762744261846209546680E-09
0.18862770653417486972868959463282880E-08  0.33732208178431722402090090327977228E-09
0.22979360966113269658004151505721262E-08  0.50249174749989734437444270555296180E-09
0.29410973413660421463030790587664127E-08  0.82116811648345890831070013112664703E-09
0.40622759929442466149838288396232381E-08  0.15197973534271450106429751578812503E-08
0.63436189782464642250898627395836729E-08  0.33716849619720650567621917365383834E-08
0.12287495589386149660771912768004428E-07  0.10142052893260084134311491216930165E-07
0.37860240675113010988985115723406920E-07  0.59218989369387907913427067336441547E-07
0.86871692084029557166961962697748700E-06  0.62308557105859709755546403078642599E-05
0.63971434623118576051064276823998186E-03  0.18493579090145400860633263151315627E-02
0.45126156111912067727472447851324622E-02  0.60878656682145067293616831621891936E-02
0.12936708803524332410448256519506386E-01  0.10765669774429263616160085769202667E-01
0.26024417138648726898733758007822279E-01  0.15391500137197458403628254662560362E-01
0.43673032618519719036441536646493282E-01  0.19878036523272485832084541595635480E-01
0.65717414560691552219993703802017148E-01  0.24175523862197252836438272121314841E-01
0.91946718326884021322581547020008099E-01  0.28241027684056653761426089411734481E-01
0.12210889751022749275150742422722619E+00  0.32034910030386171934104846611905075E-01
0.15591372341997755412812544386319919E+00  0.35520449629060101059545234549715073E-01
0.19303576282957720045523443784229429E+00  0.38663998578003465018459841491447850E-01
0.23311757931417449091137148900195370E+00  0.41435243965204602497023939387471996E-01
0.27577320374190272738544253506475748E+00  0.43807476816454242686686966868724882E-01
0.32059186442296404106729404947662825E+00  0.45757839826672522728218268862530009E-01
0.36714194961327458562687208371919593E+00  0.47267543195512324926619498237391590E-01
0.41497516767537418877974697418851001E+00  0.48322043492846194489931495112155269E-01
0.46363086635143081964509507328053272E+00  0.48911182637779850812390463650494218E-01
0.51264047026792984743364281042356436E+00  0.49029285137203049314834711107431648E-01
0.56153199429573211057325407811000047E+00  0.48675212409428946603982883738440525E-01
0.60983458948957323889463681752130856E+00  0.47852373553744173087995860395274364E-01
0.65708307793332046102140469829241279E+00  0.46568692403341935944078079662189084E-01
0.70282243288127325305194442543708025E+00  0.44836531148964714519754214534683182E-01
0.74661216109150302426145714524840051E+00  0.42672571255289688574924061372191951E-01
0.78803054518196014205702369855129537E+00  0.40097652815887408912543184090188377E-01
0.82667870519437279421514449459399813E+00  0.37136573908647539229233044687571344E-01
0.86218444032065016672658502733694385E+00  0.33817851930862902829729169618455349E-01
0.89420581394562919443133678078245973E+00  0.30173449344125303625473011241199960E-01
0.92243444786983771100382347457467785E+00  0.26238466865866521204373914182458307E-01
0.94659849514685938295690081065368178E+00  0.22050808420130807850635292953286096E-01
0.96646526701625409582288542900456921E+00  0.17650826708314639982298501494013220E-01
0.98184350714029730076831033797027484E+00  0.13080983508944308269287956802558645E-01
0.99258541168923129179750716141816567E+00  0.83857849802898975907568571189740694E-02
0.99858994339875417343086018413982762E+00  0.36169573817742962485793680292141383E-02
